"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
3,100;69,20;75,21;74,34;3,100;55,46;55,29;54,97;3,100;86,42;85,73;84,83
3,150;69,23;75,22;74,34;3,150;55,46;55,30;54,98;3,150;86,42;85,73;84,83
3,200;69,27;75,22;74,34;3,200;55,47;55,30;54,99;3,200;86,42;85,73;84,83
3,250;69,30;75,22;74,34;3,250;55,48;55,32;55,00;3,250;86,42;85,73;84,83
3,300;69,33;75,22;74,34;3,300;55,49;55,32;55,01;3,300;86,42;85,72;84,83
3,350;69,37;75,23;74,34;3,350;55,50;55,33;55,03;3,350;86,41;85,72;84,83
3,400;69,40;75,23;74,34;3,400;55,50;55,34;55,04;3,400;86,41;85,72;84,83
3,450;69,43;75,23;74,34;3,450;55,51;55,35;55,04;3,450;86,41;85,72;84,83
3,500;69,46;75,23;74,33;3,500;55,51;55,36;55,05;3,500;86,41;85,71;84,82
3,550;69,49;75,23;74,34;3,550;55,52;55,37;55,07;3,550;86,41;85,71;84,83
3,600;69,53;75,24;74,34;3,600;55,53;55,38;55,08;3,600;86,40;85,71;84,83
3,650;69,56;75,24;74,34;3,650;55,53;55,38;55,09;3,650;86,40;85,71;84,83
3,700;69,59;75,24;74,33;3,700;55,55;55,39;55,09;3,700;86,40;85,71;84,83
3,750;69,62;75,24;74,33;3,750;55,55;55,40;55,10;3,750;86,40;85,71;84,83
3,800;69,65;75,24;74,34;3,800;55,56;55,41;55,12;3,800;86,40;85,71;84,83
3,850;69,68;75,25;74,33;3,850;55,56;55,41;55,12;3,850;86,40;85,70;84,83
3,900;69,71;75,25;74,33;3,900;55,57;55,42;55,13;3,900;86,39;85,70;84,83
3,950;69,74;75,25;74,33;3,950;55,57;55,43;55,14;3,950;86,39;85,70;84,83
4,000;69,76;75,25;74,33;4,000;55,58;55,44;55,15;4,000;86,38;85,69;84,83
4,050;69,79;75,25;74,33;4,050;55,59;55,44;55,16;4,050;86,39;85,69;84,83
4,100;69,82;75,26;74,33;4,100;55,59;55,45;55,17;4,100;86,38;85,69;84,83
4,150;69,85;75,26;74,33;4,150;55,59;55,46;55,18;4,150;86,38;85,69;84,83
4,200;69,88;75,26;74,33;4,200;55,60;55,46;55,18;4,200;86,38;85,69;84,83
4,250;69,90;75,26;74,33;4,250;55,61;55,47;55,19;4,250;86,37;85,69;84,83
4,300;69,93;75,27;74,33;4,300;55,61;55,48;55,20;4,300;86,37;85,69;84,83
4,350;69,96;75,27;74,33;4,350;55,61;55,48;55,21;4,350;86,37;85,68;84,83
4,400;69,98;75,27;74,33;4,400;55,62;55,49;55,21;4,400;86,36;85,68;84,83
4,450;70,01;75,27;74,33;4,450;55,62;55,50;55,22;4,450;86,36;85,68;84,83
4,500;70,04;75,27;74,33;4,500;55,63;55,50;55,23;4,500;86,36;85,67;84,83
4,550;70,05;75,27;74,33;4,550;55,63;55,51;55,24;4,550;86,35;85,67;84,83
4,600;70,09;75,28;74,33;4,600;55,63;55,51;55,24;4,600;86,35;85,67;84,83
4,650;70,11;75,28;74,33;4,650;55,64;55,52;55,25;4,650;86,35;85,67;84,83
4,700;70,13;75,28;74,32;4,700;55,65;55,52;55,26;4,700;86,35;85,66;84,83
4,750;70,16;75,28;74,32;4,750;55,64;55,53;55,26;4,750;86,34;85,66;84,83
4,800;70,18;75,28;74,32;4,800;55,65;55,54;55,27;4,800;86,34;85,66;84,83
4,850;70,20;75,28;74,32;4,850;55,66;55,54;55,27;4,850;86,34;85,66;84,83
4,900;70,23;75,28;74,32;4,900;55,66;55,55;55,28;4,900;86,33;85,66;84,84
4,950;70,25;75,29;74,32;4,950;55,66;55,55;55,29;4,950;86,33;85,65;84,83
5,000;70,28;75,29;74,32;5,000;55,67;55,56;55,29;5,000;86,33;85,65;84,84
5,050;70,31;75,29;74,32;5,050;55,67;55,56;55,30;5,050;86,33;85,65;84,83
5,100;70,33;75,29;74,32;5,100;55,68;55,57;55,31;5,100;86,32;85,64;84,83
5,150;70,35;75,29;74,32;5,150;55,68;55,58;55,32;5,150;86,32;85,64;84,84
5,200;70,38;75,29;74,32;5,200;55,68;55,58;55,32;5,200;86,31;85,64;84,84
5,250;70,40;75,29;74,32;5,250;55,68;55,59;55,33;5,250;86,31;85,64;84,84
5,300;70,43;75,29;74,32;5,300;55,69;55,59;55,33;5,300;86,31;85,64;84,84
5,350;70,45;75,29;74,32;5,350;55,69;55,60;55,33;5,350;86,30;85,64;84,84
5,400;70,47;75,29;74,32;5,400;55,70;55,60;55,34;5,400;86,30;85,63;84,84
5,450;70,50;75,30;74,32;5,450;55,70;55,61;55,35;5,450;86,29;85,64;84,84
5,500;70,52;75,30;74,32;5,500;55,70;55,61;55,35;5,500;86,29;85,63;84,84
5,550;70,55;75,30;74,32;5,550;55,71;55,61;55,36;5,550;86,29;85,64;84,84
5,600;70,57;75,30;74,32;5,600;55,71;55,62;55,36;5,600;86,28;85,63;84,84
5,650;70,59;75,29;74,32;5,650;55,72;55,63;55,37;5,650;86,28;85,63;84,84
5,700;70,62;75,30;74,32;5,700;55,72;55,63;55,37;5,700;86,27;85,63;84,84
5,750;70,64;75,30;74,31;5,750;55,72;55,64;55,38;5,750;86,27;85,63;84,84
5,800;70,67;75,30;74,31;5,800;55,73;55,64;55,38;5,800;86,27;85,62;84,84
5,850;70,69;75,30;74,31;5,850;55,73;55,64;55,39;5,850;86,27;85,62;84,84
5,900;70,72;75,30;74,31;5,900;55,74;55,65;55,39;5,900;86,26;85,62;84,84
5,950;70,75;75,30;74,31;5,950;55,74;55,65;55,40;5,950;86,25;85,62;84,84
6,000;70,77;75,30;74,31;6,000;55,74;55,66;55,40;6,000;86,25;85,62;84,84
6,050;70,80;75,30;74,31;6,050;55,75;55,66;55,41;6,050;86,25;85,61;84,84
6,100;70,82;75,30;74,31;6,100;55,75;55,67;55,41;6,100;86,24;85,61;84,84
6,150;70,84;75,30;74,31;6,150;55,75;55,67;55,42;6,150;86,24;85,61;84,84
6,200;70,87;75,30;74,31;6,200;55,76;55,67;55,42;6,200;86,24;85,62;84,84
6,250;70,89;75,30;74,31;6,250;55,76;55,68;55,42;6,250;86,23;85,61;84,84
6,300;70,92;75,30;74,31;6,300;55,77;55,68;55,43;6,300;86,23;85,61;84,84
6,350;70,94;75,30;74,31;6,350;55,77;55,69;55,44;6,350;86,23;85,61;84,84
6,400;70,96;75,30;74,30;6,400;55,77;55,69;55,44;6,400;86,22;85,61;84,84
6,450;70,99;75,30;74,31;6,450;55,77;55,69;55,45;6,450;86,22;85,61;84,84
6,500;71,01;75,30;74,30;6,500;55,78;55,70;55,45;6,500;86,22;85,61;84,84
6,550;71,04;75,30;74,30;6,550;55,78;55,70;55,45;6,550;86,21;85,61;84,84
6,600;71,06;75,30;74,30;6,600;55,78;55,71;55,46;6,600;86,21;85,61;84,84
6,650;71,09;75,30;74,30;6,650;55,79;55,71;55,46;6,650;86,20;85,60;84,84
6,700;71,11;75,30;74,30;6,700;55,79;55,71;55,47;6,700;86,20;85,60;84,84
6,750;71,13;75,30;74,30;6,750;55,79;55,72;55,47;6,750;86,20;85,60;84,84
6,800;71,16;75,29;74,30;6,800;55,80;55,72;55,47;6,800;86,19;85,61;84,84
6,850;71,18;75,30;74,30;6,850;55,80;55,72;55,48;6,850;86,19;85,60;84,84
6,900;71,21;75,29;74,30;6,900;55,80;55,73;55,48;6,900;86,18;85,60;84,84
6,950;71,23;75,30;74,30;6,950;55,81;55,73;55,49;6,950;86,18;85,60;84,84
7,000;71,24;75,30;74,30;7,000;55,81;55,73;55,49;7,000;86,18;85,60;84,84
7,050;71,27;75,30;74,30;7,050;55,82;55,74;55,50;7,050;86,18;85,60;84,84
7,100;71,29;75,29;74,30;7,100;55,82;55,74;55,50;7,100;86,17;85,60;84,84
7,150;71,32;75,29;74,30;7,150;55,83;55,75;55,50;7,150;86,17;85,60;84,84
7,200;71,34;75,29;74,29;7,200;55,83;55,75;55,51;7,200;86,17;85,60;84,84
7,250;71,36;75,29;74,30;7,250;55,83;55,75;55,51;7,250;86,16;85,60;84,83
7,300;71,38;75,29;74,29;7,300;55,84;55,75;55,51;7,300;86,16;85,60;84,83
7,350;71,40;75,29;74,29;7,350;55,84;55,76;55,52;7,350;86,16;85,60;84,84
7,400;71,43;75,29;74,29;7,400;55,84;55,76;55,53;7,400;86,16;85,60;84,83
7,450;71,45;75,29;74,29;7,450;55,85;55,77;55,53;7,450;86,16;85,60;84,83
7,500;71,47;75,29;74,29;7,500;55,85;55,77;55,53;7,500;86,15;85,60;84,83
7,550;71,49;75,29;74,29;7,550;55,86;55,77;55,54;7,550;86,15;85,60;84,83
7,600;71,51;75,29;74,29;7,600;55,86;55,78;55,54;7,600;86,15;85,60;84,83
7,650;71,53;75,29;74,29;7,650;55,87;55,78;55,54;7,650;86,15;85,60;84,83
7,700;71,55;75,29;74,29;7,700;55,87;55,78;55,55;7,700;86,14;85,60;84,83
7,750;71,57;75,28;74,29;7,750;55,87;55,79;55,55;7,750;86,14;85,60;84,83
7,800;71,59;75,29;74,29;7,800;55,87;55,79;55,56;7,800;86,14;85,60;84,83
7,850;71,61;75,29;74,29;7,850;55,88;55,79;55,56;7,850;86,14;85,60;84,83
7,900;71,63;75,28;74,29;7,900;55,88;55,79;55,56;7,900;86,13;85,60;84,83
7,950;71,65;75,29;74,29;7,950;55,88;55,80;55,57;7,950;86,13;85,60;84,83
8,000;71,67;75,28;74,28;8,000;55,89;55,80;55,57;8,000;86,13;85,60;84,83
8,050;71,68;75,28;74,28;8,050;55,89;55,80;55,58;8,050;86,13;85,60;84,83
8,100;71,70;75,28;74,28;8,100;55,90;55,80;55,58;8,100;86,12;85,60;84,82
8,150;71,72;75,28;74,28;8,150;55,90;55,81;55,58;8,150;86,12;85,60;84,83
8,200;71,74;75,28;74,29;8,200;55,90;55,81;55,58;8,200;86,12;85,60;84,82
8,250;71,76;75,27;74,28;8,250;55,91;55,81;55,59;8,250;86,12;85,60;84,83
8,300;71,78;75,28;74,28;8,300;55,91;55,81;55,59;8,300;86,12;85,60;84,82
8,350;71,80;75,28;74,28;8,350;55,91;55,82;55,60;8,350;86,12;85,60;84,82
8,400;71,81;75,28;74,28;8,400;55,92;55,82;55,60;8,400;86,11;85,60;84,82
8,450;71,83;75,27;74,28;8,450;55,92;55,82;55,60;8,450;86,11;85,60;84,82
8,500;71,85;75,27;74,28;8,500;55,92;55,83;55,61;8,500;86,11;85,60;84,82
8,550;71,86;75,27;74,28;8,550;55,93;55,83;55,61;8,550;86,11;85,60;84,82
8,600;71,88;75,27;74,28;8,600;55,93;55,83;55,61;8,600;86,11;85,60;84,81
8,650;71,90;75,27;74,28;8,650;55,94;55,84;55,62;8,650;86,10;85,60;84,81
8,700;71,91;75,26;74,28;8,700;55,94;55,84;55,62;8,700;86,10;85,60;84,81
8,750;71,93;75,27;74,28;8,750;55,94;55,84;55,63;8,750;86,10;85,60;84,81
8,800;71,94;75,26;74,28;8,800;55,95;55,84;55,63;8,800;86,10;85,59;84,81
8,850;71,96;75,26;74,28;8,850;55,95;55,84;55,63;8,850;86,10;85,60;84,81
