"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
128,150;73,10;73,51;72,39;128,150;55,77;55,76;55,53;128,150;82,63;82,84;83,26
128,200;73,10;73,51;72,39;128,200;55,77;55,76;55,53;128,200;82,63;82,84;83,26
128,250;73,10;73,51;72,39;128,250;55,78;55,76;55,53;128,250;82,62;82,83;83,26
128,300;73,10;73,51;72,39;128,300;55,77;55,76;55,53;128,300;82,63;82,83;83,26
128,350;73,10;73,51;72,39;128,350;55,77;55,76;55,53;128,350;82,62;82,83;83,26
128,400;73,10;73,51;72,38;128,400;55,77;55,76;55,53;128,400;82,62;82,83;83,26
128,450;73,10;73,51;72,39;128,450;55,77;55,77;55,53;128,450;82,62;82,83;83,26
128,500;73,10;73,51;72,39;128,500;55,77;55,77;55,53;128,500;82,62;82,83;83,26
128,550;73,10;73,51;72,39;128,550;55,77;55,77;55,53;128,550;82,62;82,83;83,26
128,600;73,10;73,51;72,39;128,600;55,77;55,76;55,53;128,600;82,62;82,82;83,26
128,650;73,09;73,50;72,39;128,650;55,77;55,77;55,53;128,650;82,61;82,82;83,26
128,700;73,10;73,50;72,38;128,700;55,77;55,76;55,53;128,700;82,62;82,83;83,26
128,750;73,10;73,50;72,38;128,750;55,77;55,76;55,53;128,750;82,61;82,82;83,26
128,800;73,10;73,50;72,38;128,800;55,77;55,76;55,53;128,800;82,61;82,82;83,26
128,850;73,09;73,50;72,38;128,850;55,77;55,76;55,53;128,850;82,61;82,82;83,26
128,900;73,09;73,50;72,38;128,900;55,77;55,76;55,53;128,900;82,61;82,82;83,26
128,950;73,09;73,50;72,38;128,950;55,77;55,76;55,53;128,950;82,61;82,82;83,26
129,000;73,09;73,50;72,38;129,000;55,77;55,76;55,53;129,000;82,61;82,82;83,26
129,050;73,09;73,50;72,37;129,050;55,77;55,76;55,53;129,050;82,60;82,82;83,26
129,100;73,09;73,50;72,37;129,100;55,77;55,76;55,53;129,100;82,60;82,81;83,26
129,150;73,09;73,50;72,37;129,150;55,77;55,77;55,53;129,150;82,60;82,81;83,26
129,200;73,09;73,49;72,37;129,200;55,77;55,76;55,53;129,200;82,60;82,81;83,26
129,250;73,09;73,50;72,37;129,250;55,77;55,76;55,53;129,250;82,60;82,81;83,26
129,300;73,09;73,50;72,37;129,300;55,77;55,76;55,53;129,300;82,60;82,81;83,26
129,350;73,09;73,49;72,37;129,350;55,77;55,76;55,53;129,350;82,60;82,81;83,26
129,400;73,09;73,49;72,37;129,400;55,77;55,76;55,53;129,400;82,60;82,80;83,26
129,450;73,09;73,49;72,37;129,450;55,77;55,76;55,53;129,450;82,59;82,80;83,26
129,500;73,09;73,49;72,37;129,500;55,77;55,76;55,53;129,500;82,59;82,80;83,26
129,550;73,09;73,49;72,37;129,550;55,77;55,76;55,53;129,550;82,59;82,80;83,26
129,600;73,09;73,49;72,37;129,600;55,76;55,76;55,53;129,600;82,59;82,80;83,26
129,650;73,09;73,49;72,37;129,650;55,77;55,76;55,53;129,650;82,59;82,80;83,26
129,700;73,09;73,49;72,37;129,700;55,77;55,76;55,53;129,700;82,59;82,80;83,26
129,750;73,09;73,49;72,37;129,750;55,77;55,76;55,53;129,750;82,58;82,79;83,26
129,800;73,09;73,49;72,37;129,800;55,77;55,76;55,53;129,800;82,58;82,79;83,26
129,850;73,09;73,49;72,36;129,850;55,77;55,76;55,53;129,850;82,58;82,79;83,26
129,900;73,08;73,49;72,36;129,900;55,77;55,76;55,53;129,900;82,58;82,79;83,26
129,950;73,09;73,49;72,36;129,950;55,76;55,76;55,53;129,950;82,58;82,79;83,26
130,000;73,08;73,48;72,36;130,000;55,76;55,76;55,53;130,000;82,58;82,78;83,26
130,050;73,09;73,49;72,36;130,050;55,77;55,76;55,53;130,050;82,58;82,78;83,26
130,100;73,08;73,49;72,36;130,100;55,76;55,76;55,53;130,100;82,57;82,78;83,26
130,150;73,08;73,48;72,36;130,150;55,76;55,76;55,53;130,150;82,57;82,78;83,26
130,200;73,08;73,48;72,36;130,200;55,76;55,75;55,53;130,200;82,57;82,78;83,26
130,250;73,09;73,48;72,36;130,250;55,77;55,76;55,53;130,250;82,57;82,77;83,26
130,300;73,08;73,48;72,36;130,300;55,76;55,76;55,53;130,300;82,57;82,77;83,26
130,350;73,08;73,48;72,36;130,350;55,76;55,76;55,53;130,350;82,56;82,77;83,26
130,400;73,08;73,48;72,35;130,400;55,76;55,76;55,53;130,400;82,57;82,77;83,26
130,450;73,08;73,48;72,36;130,450;55,76;55,75;55,52;130,450;82,56;82,77;83,26
130,500;73,08;73,48;72,35;130,500;55,76;55,75;55,52;130,500;82,56;82,77;83,26
130,550;73,08;73,48;72,35;130,550;55,76;55,75;55,52;130,550;82,56;82,77;83,26
130,600;73,08;73,48;72,35;130,600;55,76;55,76;55,53;130,600;82,56;82,77;83,26
130,650;73,08;73,47;72,35;130,650;55,76;55,76;55,53;130,650;82,55;82,76;83,26
130,700;73,08;73,47;72,35;130,700;55,76;55,75;55,52;130,700;82,56;82,76;83,26
130,750;73,08;73,48;72,35;130,750;55,76;55,75;55,53;130,750;82,55;82,76;83,26
130,800;73,08;73,47;72,35;130,800;55,76;55,75;55,53;130,800;82,55;82,76;83,26
130,850;73,08;73,47;72,35;130,850;55,76;55,75;55,53;130,850;82,55;82,76;83,26
130,900;73,08;73,47;72,35;130,900;55,76;55,75;55,53;130,900;82,55;82,75;83,26
130,950;73,07;73,48;72,35;130,950;55,76;55,75;55,52;130,950;82,55;82,75;83,26
131,000;73,08;73,47;72,35;131,000;55,75;55,75;55,53;131,000;82,55;82,75;83,26
131,050;73,08;73,47;72,35;131,050;55,76;55,75;55,53;131,050;82,54;82,75;83,26
131,100;73,07;73,47;72,35;131,100;55,75;55,75;55,53;131,100;82,55;82,75;83,26
131,150;73,08;73,47;72,34;131,150;55,75;55,75;55,53;131,150;82,54;82,75;83,26
131,200;73,08;73,47;72,35;131,200;55,75;55,75;55,53;131,200;82,54;82,75;83,26
131,250;73,07;73,47;72,34;131,250;55,75;55,75;55,53;131,250;82,54;82,75;83,26
131,300;73,07;73,47;72,34;131,300;55,75;55,75;55,53;131,300;82,54;82,74;83,26
131,350;73,07;73,46;72,34;131,350;55,75;55,75;55,52;131,350;82,54;82,75;83,26
131,400;73,07;73,47;72,34;131,400;55,75;55,75;55,52;131,400;82,53;82,74;83,26
131,450;73,07;73,46;72,34;131,450;55,75;55,75;55,53;131,450;82,54;82,74;83,26
131,500;73,07;73,46;72,34;131,500;55,75;55,75;55,53;131,500;82,53;82,74;83,26
131,550;73,08;73,46;72,34;131,550;55,75;55,74;55,53;131,550;82,53;82,74;83,26
131,600;73,07;73,46;72,34;131,600;55,75;55,74;55,53;131,600;82,53;82,74;83,26
131,650;73,07;73,46;72,33;131,650;55,75;55,75;55,52;131,650;82,53;82,74;83,26
131,700;73,07;73,46;72,33;131,700;55,75;55,74;55,53;131,700;82,52;82,74;83,26
131,750;73,07;73,46;72,33;131,750;55,74;55,74;55,53;131,750;82,52;82,73;83,26
131,800;73,07;73,46;72,33;131,800;55,75;55,74;55,53;131,800;82,52;82,73;83,26
131,850;73,07;73,46;72,33;131,850;55,75;55,74;55,52;131,850;82,52;82,74;83,26
131,900;73,07;73,46;72,33;131,900;55,74;55,74;55,53;131,900;82,52;82,74;83,26
131,950;73,07;73,46;72,33;131,950;55,74;55,74;55,53;131,950;82,52;82,73;83,26
132,000;73,06;73,45;72,33;132,000;55,75;55,74;55,52;132,000;82,52;82,73;83,26
132,050;73,07;73,45;72,33;132,050;55,74;55,74;55,53;132,050;82,52;82,73;83,26
132,100;73,07;73,45;72,33;132,100;55,75;55,74;55,53;132,100;82,52;82,74;83,26
132,150;73,07;73,45;72,33;132,150;55,74;55,74;55,53;132,150;82,52;82,73;83,26
132,200;73,07;73,45;72,33;132,200;55,74;55,74;55,53;132,200;82,52;82,73;83,26
132,250;73,07;73,45;72,33;132,250;55,74;55,74;55,53;132,250;82,51;82,73;83,26
132,300;73,07;73,45;72,33;132,300;55,74;55,73;55,53;132,300;82,51;82,73;83,26
132,350;73,07;73,45;72,32;132,350;55,74;55,74;55,53;132,350;82,51;82,73;83,26
132,400;73,07;73,45;72,32;132,400;55,74;55,73;55,53;132,400;82,51;82,73;83,26
132,450;73,07;73,45;72,32;132,450;55,74;55,73;55,53;132,450;82,51;82,73;83,26
132,500;73,07;73,45;72,32;132,500;55,74;55,74;55,53;132,500;82,51;82,72;83,26
132,550;73,07;73,45;72,32;132,550;55,74;55,73;55,53;132,550;82,51;82,73;83,26
132,600;73,07;73,44;72,32;132,600;55,74;55,73;55,53;132,600;82,51;82,73;83,26
132,650;73,07;73,44;72,32;132,650;55,74;55,73;55,53;132,650;82,51;82,72;83,26
132,700;73,07;73,44;72,32;132,700;55,74;55,73;55,53;132,700;82,51;82,72;83,26
132,750;73,06;73,44;72,32;132,750;55,74;55,73;55,53;132,750;82,51;82,73;83,26
132,800;73,07;73,44;72,32;132,800;55,73;55,73;55,53;132,800;82,51;82,73;83,26
132,850;73,06;73,44;72,32;132,850;55,74;55,73;55,53;132,850;82,50;82,72;83,26
132,900;73,06;73,44;72,31;132,900;55,73;55,73;55,53;132,900;82,50;82,72;83,26
132,950;73,06;73,44;72,32;132,950;55,74;55,73;55,53;132,950;82,50;82,72;83,26
133,000;73,06;73,44;72,31;133,000;55,73;55,73;55,53;133,000;82,50;82,72;83,26
133,050;73,06;73,44;72,31;133,050;55,73;55,73;55,53;133,050;82,50;82,73;83,26
133,100;73,06;73,44;72,31;133,100;55,73;55,73;55,53;133,100;82,50;82,72;83,26
133,150;73,06;73,44;72,31;133,150;55,73;55,73;55,53;133,150;82,50;82,72;83,26
133,200;73,06;73,44;72,31;133,200;55,73;55,72;55,53;133,200;82,50;82,72;83,26
133,250;73,06;73,44;72,31;133,250;55,73;55,72;55,53;133,250;82,50;82,72;83,26
133,300;73,06;73,44;72,31;133,300;55,73;55,72;55,53;133,300;82,50;82,72;83,26
133,350;73,06;73,44;72,31;133,350;55,73;55,72;55,53;133,350;82,49;82,72;83,26
133,400;73,06;73,43;72,31;133,400;55,73;55,72;55,53;133,400;82,49;82,72;83,26
133,450;73,06;73,44;72,31;133,450;55,73;55,72;55,53;133,450;82,50;82,72;83,26
133,500;73,06;73,43;72,31;133,500;55,73;55,72;55,53;133,500;82,50;82,72;83,26
133,550;73,06;73,43;72,31;133,550;55,73;55,72;55,53;133,550;82,49;82,72;83,26
133,600;73,06;73,43;72,31;133,600;55,73;55,72;55,53;133,600;82,49;82,72;83,26
133,650;73,06;73,43;72,31;133,650;55,73;55,72;55,53;133,650;82,49;82,72;83,26
133,700;73,06;73,43;72,31;133,700;55,73;55,72;55,53;133,700;82,49;82,72;83,26
133,750;73,06;73,43;72,30;133,750;55,73;55,72;55,54;133,750;82,49;82,72;83,26
133,800;73,06;73,43;72,30;133,800;55,73;55,71;55,53;133,800;82,49;82,72;83,26
133,850;73,06;73,43;72,30;133,850;55,73;55,71;55,53;133,850;82,48;82,72;83,26
133,900;73,06;73,42;72,30;133,900;55,73;55,72;55,53;133,900;82,48;82,72;83,26
133,950;73,05;73,42;72,30;133,950;55,73;55,71;55,53;133,950;82,49;82,72;83,26
134,000;73,05;73,42;72,30;134,000;55,72;55,71;55,53;134,000;82,48;82,72;83,26
134,050;73,06;73,42;72,30;134,050;55,73;55,71;55,53;134,050;82,48;82,72;83,26
134,100;73,05;73,42;72,30;134,100;55,73;55,71;55,53;134,100;82,48;82,72;83,26
134,150;73,05;73,42;72,30;134,150;55,72;55,71;55,53;134,150;82,48;82,72;83,26
134,200;73,05;73,42;72,30;134,200;55,72;55,71;55,53;134,200;82,48;82,71;83,26
134,250;73,05;73,42;72,30;134,250;55,73;55,71;55,53;134,250;82,48;82,72;83,26
134,300;73,05;73,42;72,29;134,300;55,73;55,71;55,53;134,300;82,48;82,71;83,27
134,350;73,06;73,42;72,30;134,350;55,72;55,71;55,53;134,350;82,48;82,71;83,26
134,400;73,05;73,42;72,29;134,400;55,72;55,71;55,53;134,400;82,47;82,71;83,26
134,450;73,05;73,41;72,29;134,450;55,72;55,71;55,54;134,450;82,47;82,71;83,26
134,500;73,05;73,41;72,29;134,500;55,72;55,70;55,53;134,500;82,47;82,71;83,26
134,550;73,05;73,41;72,29;134,550;55,72;55,70;55,53;134,550;82,47;82,71;83,26
134,600;73,05;73,41;72,29;134,600;55,72;55,70;55,53;134,600;82,47;82,71;83,26
134,650;73,05;73,42;72,29;134,650;55,72;55,70;55,53;134,650;82,47;82,71;83,26
134,700;73,05;73,41;72,29;134,700;55,72;55,70;55,53;134,700;82,46;82,71;83,26
134,750;73,05;73,41;72,28;134,750;55,72;55,70;55,53;134,750;82,47;82,71;83,26
134,800;73,05;73,41;72,29;134,800;55,72;55,70;55,53;134,800;82,47;82,71;83,26
134,850;73,05;73,41;72,28;134,850;55,72;55,70;55,53;134,850;82,46;82,71;83,26
134,900;73,05;73,41;72,28;134,900;55,72;55,70;55,53;134,900;82,46;82,71;83,26
134,950;73,05;73,40;72,28;134,950;55,72;55,70;55,53;134,950;82,46;82,71;83,26
135,000;73,05;73,41;72,28;135,000;55,72;55,70;55,53;135,000;82,46;82,71;83,26
135,050;73,05;73,40;72,28;135,050;55,72;55,70;55,53;135,050;82,46;82,71;83,26
135,100;73,05;73,40;72,28;135,100;55,72;55,70;55,53;135,100;82,46;82,70;83,26
135,150;73,05;73,40;72,28;135,150;55,72;55,70;55,53;135,150;82,45;82,70;83,25
135,200;73,04;73,40;72,28;135,200;55,72;55,70;55,53;135,200;82,45;82,70;83,26
135,250;73,04;73,40;72,28;135,250;55,72;55,69;55,53;135,250;82,45;82,70;83,25
135,300;73,05;73,40;72,28;135,300;55,72;55,69;55,53;135,300;82,45;82,70;83,26
135,350;73,04;73,40;72,28;135,350;55,72;55,69;55,53;135,350;82,45;82,70;83,26
135,400;73,05;73,40;72,28;135,400;55,71;55,69;55,53;135,400;82,45;82,70;83,25
135,450;73,04;73,40;72,28;135,450;55,72;55,69;55,52;135,450;82,45;82,70;83,25
135,500;73,04;73,40;72,27;135,500;55,72;55,69;55,53;135,500;82,45;82,70;83,25
135,550;73,04;73,40;72,28;135,550;55,72;55,70;55,53;135,550;82,44;82,69;83,25
135,600;73,04;73,40;72,27;135,600;55,72;55,69;55,53;135,600;82,44;82,70;83,25
135,650;73,04;73,39;72,27;135,650;55,72;55,69;55,53;135,650;82,44;82,69;83,25
135,700;73,04;73,40;72,27;135,700;55,71;55,69;55,53;135,700;82,44;82,69;83,25
135,750;73,04;73,39;72,27;135,750;55,72;55,69;55,53;135,750;82,44;82,69;83,24
135,800;73,04;73,39;72,27;135,800;55,71;55,69;55,53;135,800;82,44;82,69;83,24
135,850;73,04;73,40;72,27;135,850;55,72;55,69;55,53;135,850;82,43;82,69;83,24
135,900;73,04;73,40;72,27;135,900;55,72;55,69;55,53;135,900;82,43;82,69;83,24
135,950;73,03;73,39;72,27;135,950;55,71;55,69;55,52;135,950;82,44;82,68;83,24
136,000;73,04;73,39;72,27;136,000;55,71;55,69;55,52;136,000;82,43;82,68;83,24
136,050;73,04;73,39;72,26;136,050;55,72;55,69;55,52;136,050;82,43;82,68;83,23
136,100;73,04;73,39;72,26;136,100;55,71;55,69;55,52;136,100;82,43;82,68;83,23
136,150;73,04;73,39;72,27;136,150;55,72;55,69;55,52;136,150;82,42;82,68;83,22
136,200;73,04;73,39;72,26;136,200;55,71;55,69;55,52;136,200;82,42;82,68;83,23
136,250;73,03;73,39;72,26;136,250;55,71;55,69;55,52;136,250;82,42;82,67;83,23
136,300;73,04;73,39;72,26;136,300;55,71;55,69;55,52;136,300;82,42;82,67;83,23
136,350;73,04;73,39;72,26;136,350;55,71;55,69;55,52;136,350;82,41;82,67;83,22
136,400;73,03;73,38;72,26;136,400;55,71;55,68;55,52;136,400;82,42;82,67;83,22
136,450;73,03;73,39;72,26;136,450;55,71;55,68;55,52;136,450;82,41;82,67;83,22
136,500;73,03;73,38;72,26;136,500;55,71;55,68;55,52;136,500;82,41;82,66;83,21
136,550;73,03;73,38;72,26;136,550;55,71;55,68;55,52;136,550;82,41;82,66;83,21
136,600;73,03;73,38;72,26;136,600;55,71;55,68;55,52;136,600;82,41;82,66;83,21
136,650;73,03;73,39;72,26;136,650;55,71;55,68;55,52;136,650;82,41;82,66;83,21
136,700;73,03;73,38;72,26;136,700;55,72;55,68;55,52;136,700;82,40;82,65;83,21
136,750;73,03;73,38;72,25;136,750;55,72;55,68;55,52;136,750;82,40;82,66;83,20
136,800;73,03;73,38;72,26;136,800;55,71;55,68;55,52;136,800;82,40;82,65;83,20
136,850;73,03;73,38;72,25;136,850;55,71;55,68;55,52;136,850;82,40;82,65;83,20
136,900;73,03;73,38;72,25;136,900;55,72;55,68;55,52;136,900;82,40;82,65;83,20
136,950;73,03;73,38;72,25;136,950;55,71;55,68;55,52;136,950;82,39;82,65;83,20
137,000;73,03;73,37;72,25;137,000;55,71;55,68;55,51;137,000;82,39;82,65;83,19
137,050;73,03;73,37;72,25;137,050;55,71;55,68;55,52;137,050;82,39;82,64;83,19
137,100;73,03;73,38;72,25;137,100;55,71;55,68;55,52;137,100;82,39;82,65;83,18
137,150;73,02;73,37;72,24;137,150;55,71;55,68;55,52;137,150;82,39;82,64;83,18
137,200;73,02;73,37;72,25;137,200;55,71;55,68;55,51;137,200;82,38;82,64;83,18
137,250;73,03;73,37;72,25;137,250;55,71;55,68;55,51;137,250;82,38;82,64;83,18
137,300;73,03;73,37;72,24;137,300;55,71;55,68;55,51;137,300;82,38;82,64;83,17
137,350;73,02;73,37;72,24;137,350;55,71;55,68;55,51;137,350;82,38;82,63;83,17
137,400;73,03;73,37;72,24;137,400;55,71;55,68;55,51;137,400;82,38;82,63;83,17
137,450;73,02;73,37;72,24;137,450;55,71;55,67;55,52;137,450;82,38;82,63;83,17
137,500;73,03;73,36;72,24;137,500;55,71;55,68;55,51;137,500;82,37;82,63;83,16
137,550;73,02;73,37;72,24;137,550;55,71;55,68;55,51;137,550;82,37;82,63;83,16
137,600;73,02;73,36;72,24;137,600;55,71;55,68;55,51;137,600;82,37;82,62;83,16
137,650;73,02;73,36;72,23;137,650;55,71;55,68;55,51;137,650;82,37;82,62;83,15
137,700;73,03;73,36;72,24;137,700;55,71;55,68;55,51;137,700;82,36;82,62;83,15
137,750;73,02;73,36;72,24;137,750;55,71;55,68;55,51;137,750;82,36;82,62;83,15
137,800;73,02;73,36;72,23;137,800;55,71;55,67;55,51;137,800;82,36;82,62;83,15
137,850;73,02;73,36;72,23;137,850;55,71;55,68;55,51;137,850;82,36;82,61;83,15
137,900;73,02;73,36;72,23;137,900;55,71;55,67;55,51;137,900;82,36;82,61;83,14
137,950;73,02;73,36;72,23;137,950;55,71;55,67;55,51;137,950;82,35;82,61;83,14
138,000;73,02;73,36;72,23;138,000;55,71;55,68;55,51;138,000;82,35;82,61;83,14
138,050;73,02;73,36;72,23;138,050;55,71;55,67;55,51;138,050;82,35;82,61;83,14
138,100;73,02;73,36;72,23;138,100;55,71;55,67;55,51;138,100;82,35;82,60;83,13
138,150;73,02;73,36;72,23;138,150;55,71;55,68;55,51;138,150;82,34;82,60;83,13
138,200;73,02;73,36;72,23;138,200;55,71;55,67;55,51;138,200;82,34;82,60;83,13
138,250;73,02;73,36;72,22;138,250;55,71;55,68;55,51;138,250;82,34;82,60;83,13
138,300;73,02;73,36;72,23;138,300;55,71;55,67;55,51;138,300;82,34;82,59;83,13
138,350;73,02;73,35;72,22;138,350;55,71;55,67;55,51;138,350;82,34;82,60;83,12
138,400;73,02;73,35;72,22;138,400;55,71;55,67;55,51;138,400;82,34;82,59;83,12
138,450;73,02;73,35;72,22;138,450;55,71;55,67;55,51;138,450;82,33;82,59;83,12
138,500;73,01;73,35;72,22;138,500;55,71;55,67;55,51;138,500;82,33;82,59;83,11
138,550;73,01;73,36;72,22;138,550;55,71;55,67;55,51;138,550;82,33;82,59;83,12
138,600;73,02;73,35;72,22;138,600;55,71;55,67;55,50;138,600;82,33;82,58;83,11
138,650;73,02;73,35;72,22;138,650;55,71;55,67;55,50;138,650;82,33;82,58;83,11
138,700;73,02;73,35;72,22;138,700;55,71;55,67;55,51;138,700;82,33;82,58;83,10
138,750;73,01;73,35;72,22;138,750;55,71;55,67;55,50;138,750;82,33;82,58;83,10
138,800;73,01;73,35;72,22;138,800;55,71;55,67;55,51;138,800;82,32;82,58;83,10
138,850;73,01;73,35;72,22;138,850;55,71;55,67;55,50;138,850;82,32;82,58;83,10
138,900;73,01;73,35;72,21;138,900;55,70;55,67;55,51;138,900;82,32;82,57;83,10
138,950;73,01;73,35;72,21;138,950;55,71;55,67;55,51;138,950;82,32;82,57;83,10
139,000;73,01;73,34;72,21;139,000;55,70;55,67;55,50;139,000;82,32;82,57;83,09
139,050;73,01;73,34;72,21;139,050;55,70;55,68;55,50;139,050;82,32;82,57;83,09
139,100;73,01;73,34;72,21;139,100;55,70;55,67;55,50;139,100;82,31;82,57;83,09
139,150;73,01;73,34;72,21;139,150;55,70;55,67;55,50;139,150;82,31;82,57;83,09
139,200;73,01;73,34;72,21;139,200;55,71;55,67;55,50;139,200;82,31;82,56;83,09
139,250;73,01;73,34;72,21;139,250;55,70;55,67;55,50;139,250;82,31;82,56;83,09
139,300;73,01;73,34;72,21;139,300;55,70;55,67;55,50;139,300;82,31;82,56;83,08
139,350;73,01;73,34;72,21;139,350;55,70;55,67;55,50;139,350;82,31;82,56;83,08
139,400;73,01;73,33;72,21;139,400;55,71;55,67;55,50;139,400;82,30;82,55;83,08
139,450;73,01;73,33;72,20;139,450;55,70;55,67;55,50;139,450;82,30;82,55;83,08
139,500;73,01;73,33;72,20;139,500;55,70;55,67;55,50;139,500;82,30;82,56;83,08
139,550;73,01;73,33;72,20;139,550;55,70;55,67;55,50;139,550;82,30;82,55;83,08
139,600;73,01;73,33;72,20;139,600;55,70;55,67;55,50;139,600;82,30;82,55;83,07
139,650;73,00;73,33;72,20;139,650;55,71;55,68;55,50;139,650;82,30;82,55;83,07
139,700;73,00;73,33;72,20;139,700;55,70;55,67;55,50;139,700;82,30;82,55;83,07
139,750;73,01;73,32;72,20;139,750;55,70;55,67;55,50;139,750;82,30;82,55;83,07
139,800;73,00;73,32;72,20;139,800;55,70;55,67;55,50;139,800;82,30;82,54;83,07
139,850;73,01;73,32;72,20;139,850;55,70;55,67;55,50;139,850;82,30;82,54;83,06
139,900;73,01;73,32;72,20;139,900;55,70;55,67;55,50;139,900;82,29;82,54;83,07
139,950;73,00;73,32;72,20;139,950;55,70;55,67;55,50;139,950;82,29;82,54;83,06
140,000;73,00;73,32;72,19;140,000;55,70;55,67;55,50;140,000;82,29;82,54;83,07
140,050;73,00;73,32;72,20;140,050;55,70;55,67;55,50;140,050;82,29;82,54;83,06
140,100;73,00;73,32;72,19;140,100;55,70;55,67;55,50;140,100;82,29;82,53;83,06
140,150;73,00;73,32;72,19;140,150;55,70;55,67;55,49;140,150;82,28;82,53;83,05
140,200;73,00;73,32;72,19;140,200;55,70;55,67;55,49;140,200;82,28;82,53;83,06
140,250;73,00;73,31;72,19;140,250;55,70;55,67;55,49;140,250;82,28;82,53;83,06
140,300;73,00;73,31;72,19;140,300;55,70;55,67;55,50;140,300;82,28;82,52;83,05
140,350;73,00;73,31;72,18;140,350;55,70;55,67;55,49;140,350;82,28;82,52;83,05
140,400;73,00;73,31;72,19;140,400;55,70;55,67;55,49;140,400;82,28;82,53;83,05
140,450;73,00;73,31;72,18;140,450;55,70;55,67;55,49;140,450;82,28;82,52;83,05
140,500;73,00;73,31;72,19;140,500;55,70;55,67;55,49;140,500;82,28;82,52;83,05
140,550;73,00;73,31;72,19;140,550;55,70;55,67;55,49;140,550;82,28;82,52;83,05
140,600;73,00;73,31;72,18;140,600;55,70;55,67;55,49;140,600;82,28;82,52;83,05
140,650;73,00;73,30;72,18;140,650;55,70;55,67;55,49;140,650;82,28;82,52;83,05
140,700;73,00;73,30;72,18;140,700;55,70;55,67;55,49;140,700;82,28;82,52;83,04
140,750;73,00;73,30;72,18;140,750;55,70;55,67;55,49;140,750;82,28;82,52;83,05
140,800;73,00;73,30;72,18;140,800;55,70;55,67;55,49;140,800;82,27;82,52;83,05
140,850;73,00;73,30;72,18;140,850;55,70;55,67;55,49;140,850;82,27;82,51;83,05
140,900;73,00;73,30;72,18;140,900;55,70;55,67;55,49;140,900;82,27;82,52;83,05
140,950;73,00;73,29;72,18;140,950;55,70;55,67;55,49;140,950;82,27;82,51;83,04
141,000;73,00;73,29;72,18;141,000;55,70;55,67;55,49;141,000;82,27;82,51;83,04
141,050;73,00;73,30;72,18;141,050;55,70;55,67;55,49;141,050;82,27;82,51;83,04
141,100;73,00;73,30;72,18;141,100;55,70;55,67;55,49;141,100;82,27;82,51;83,04
141,150;72,99;73,29;72,18;141,150;55,70;55,67;55,49;141,150;82,27;82,50;83,04
141,200;72,99;73,29;72,18;141,200;55,70;55,67;55,49;141,200;82,27;82,51;83,04
141,250;72,99;73,29;72,17;141,250;55,70;55,67;55,49;141,250;82,27;82,50;83,04
141,300;72,99;73,29;72,18;141,300;55,70;55,67;55,49;141,300;82,27;82,50;83,04
141,350;72,99;73,29;72,17;141,350;55,69;55,68;55,49;141,350;82,26;82,50;83,04
141,400;72,99;73,29;72,17;141,400;55,69;55,67;55,49;141,400;82,27;82,50;83,04
141,450;72,99;73,29;72,17;141,450;55,69;55,67;55,49;141,450;82,26;82,50;83,04
141,500;72,99;73,28;72,17;141,500;55,69;55,67;55,49;141,500;82,26;82,50;83,03
141,550;72,99;73,28;72,17;141,550;55,69;55,68;55,49;141,550;82,26;82,50;83,04
141,600;72,99;73,29;72,17;141,600;55,69;55,67;55,49;141,600;82,26;82,50;83,04
141,650;72,99;73,28;72,17;141,650;55,70;55,67;55,49;141,650;82,26;82,49;83,03
141,700;72,99;73,28;72,16;141,700;55,69;55,68;55,49;141,700;82,26;82,49;83,04
141,750;72,99;73,28;72,17;141,750;55,70;55,68;55,49;141,750;82,26;82,49;83,03
141,800;72,99;73,28;72,16;141,800;55,70;55,67;55,49;141,800;82,26;82,49;83,04
141,850;72,98;73,28;72,17;141,850;55,70;55,67;55,49;141,850;82,26;82,49;83,03
141,900;72,99;73,28;72,17;141,900;55,69;55,68;55,49;141,900;82,26;82,49;83,03
141,950;72,99;73,28;72,16;141,950;55,70;55,68;55,49;141,950;82,26;82,49;83,03
142,000;72,99;73,28;72,16;142,000;55,69;55,68;55,48;142,000;82,25;82,49;83,03
142,050;72,99;73,28;72,16;142,050;55,69;55,67;55,48;142,050;82,26;82,49;83,03
142,100;72,99;73,27;72,16;142,100;55,69;55,67;55,48;142,100;82,25;82,49;83,04
142,150;72,98;73,27;72,16;142,150;55,70;55,67;55,48;142,150;82,25;82,49;83,03
142,200;72,98;73,27;72,16;142,200;55,69;55,68;55,49;142,200;82,25;82,48;83,03
142,250;72,98;73,27;72,16;142,250;55,69;55,68;55,48;142,250;82,25;82,48;83,03
142,300;72,98;73,27;72,16;142,300;55,69;55,68;55,48;142,300;82,25;82,48;83,03
142,350;72,98;73,27;72,16;142,350;55,69;55,67;55,48;142,350;82,25;82,48;83,04
142,400;72,99;73,27;72,16;142,400;55,69;55,68;55,48;142,400;82,25;82,48;83,03
142,450;72,98;73,27;72,16;142,450;55,69;55,68;55,48;142,450;82,25;82,48;83,03
