"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1"
9,800;75,48;76,68;79,44
9,850;75,48;76,67;79,44
9,900;75,48;76,67;79,43
9,950;75,48;76,67;79,43
10,000;75,47;76,66;79,43
10,050;75,47;76,66;79,43
10,100;75,47;76,66;79,43
10,150;75,47;76,66;79,43
10,200;75,46;76,66;79,43
10,250;75,46;76,66;79,43
10,300;75,46;76,66;79,44
10,350;75,46;76,66;79,44
10,400;75,45;76,65;79,43
10,450;75,45;76,65;79,44
10,500;75,45;76,65;79,44
10,550;75,45;76,65;79,44
10,600;75,44;76,64;79,44
10,650;75,44;76,65;79,44
10,700;75,44;76,64;79,44
10,750;75,44;76,64;79,44
10,800;75,44;76,64;79,45
10,850;75,44;76,64;79,45
10,900;75,43;76,64;79,45
10,950;75,43;76,63;79,45
11,000;75,43;76,63;79,45
11,050;75,42;76,63;79,45
11,100;75,42;76,63;79,45
11,150;75,42;76,63;79,46
11,200;75,42;76,63;79,46
11,250;75,41;76,63;79,45
11,300;75,41;76,62;79,46
11,350;75,41;76,62;79,46
11,400;75,41;76,62;79,46
11,450;75,41;76,62;79,46
11,500;75,41;76,61;79,46
11,550;75,40;76,61;79,47
11,600;75,39;76,61;79,47
11,650;75,40;76,61;79,47
11,700;75,40;76,60;79,47
11,750;75,39;76,61;79,47
11,800;75,39;76,61;79,47
11,850;75,39;76,60;79,47
11,900;75,39;76,60;79,47
11,950;75,38;76,60;79,47
12,000;75,38;76,60;79,47
12,050;75,38;76,60;79,47
12,100;75,38;76,59;79,48
12,150;75,38;76,60;79,48
12,200;75,37;76,59;79,48
12,250;75,37;76,59;79,48
12,300;75,37;76,59;79,48
12,350;75,36;76,59;79,48
12,400;75,36;76,59;79,48
12,450;75,36;76,58;79,47
12,500;75,36;76,58;79,48
12,550;75,35;76,58;79,48
12,600;75,35;76,58;79,47
12,650;75,35;76,58;79,47
12,700;75,35;76,57;79,48
12,750;75,35;76,57;79,48
12,800;75,35;76,57;79,48
12,850;75,34;76,57;79,47
