"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
4,800;80,16;80,24;79,25;4,800;80,88;78,66;77,84
4,850;80,16;80,24;79,24;4,850;80,89;78,67;77,84
4,900;80,16;80,24;79,24;4,900;80,89;78,67;77,84
4,950;80,17;80,24;79,24;4,950;80,90;78,67;77,84
5,000;80,17;80,24;79,24;5,000;80,90;78,68;77,84
5,050;80,18;80,23;79,25;5,050;80,91;78,69;77,83
5,100;80,18;80,23;79,24;5,100;80,91;78,69;77,83
5,150;80,18;80,23;79,24;5,150;80,92;78,70;77,83
5,200;80,18;80,23;79,24;5,200;80,92;78,70;77,83
5,250;80,18;80,23;79,24;5,250;80,93;78,71;77,83
5,300;80,19;80,22;79,24;5,300;80,93;78,71;77,82
5,350;80,19;80,22;79,24;5,350;80,94;78,72;77,82
5,400;80,19;80,22;79,24;5,400;80,94;78,72;77,82
5,450;80,19;80,22;79,24;5,450;80,95;78,73;77,81
5,500;80,20;80,22;79,24;5,500;80,95;78,73;77,81
5,550;80,20;80,22;79,25;5,550;80,96;78,73;77,81
5,600;80,20;80,22;79,25;5,600;80,96;78,74;77,81
5,650;80,20;80,22;79,24;5,650;80,97;78,74;77,80
5,700;80,20;80,22;79,24;5,700;80,97;78,75;77,80
5,750;80,20;80,21;79,25;5,750;80,98;78,75;77,80
5,800;80,20;80,21;79,25;5,800;80,98;78,76;77,79
5,850;80,21;80,21;79,25;5,850;80,99;78,76;77,79
5,900;80,21;80,21;79,25;5,900;80,99;78,77;77,79
5,950;80,21;80,21;79,25;5,950;81,00;78,77;77,79
6,000;80,21;80,20;79,25;6,000;81,00;78,77;77,79
6,050;80,22;80,20;79,25;6,050;81,00;78,78;77,79
6,100;80,22;80,20;79,25;6,100;81,01;78,78;77,79
6,150;80,22;80,20;79,25;6,150;81,01;78,79;77,78
6,200;80,22;80,20;79,25;6,200;81,02;78,78;77,78
6,250;80,22;80,19;79,26;6,250;81,02;78,79;77,78
6,300;80,22;80,19;79,25;6,300;81,02;78,79;77,78
6,350;80,22;80,20;79,26;6,350;81,03;78,79;77,78
6,400;80,22;80,20;79,26;6,400;81,03;78,80;77,78
6,450;80,22;80,19;79,26;6,450;81,03;78,80;77,77
6,500;80,23;80,19;79,26;6,500;81,03;78,80;77,78
6,550;80,23;80,19;79,26;6,550;81,04;78,80;77,77
6,600;80,23;80,19;79,26;6,600;81,04;78,81;77,77
6,650;80,23;80,19;79,26;6,650;81,05;78,81;77,77
6,700;80,23;80,19;79,26;6,700;81,05;78,81;77,77
6,750;80,23;80,18;79,26;6,750;81,05;78,81;77,77
6,800;80,23;80,18;79,26;6,800;81,05;78,82;77,77
6,850;80,23;80,18;79,27;6,850;81,06;78,82;77,77
6,900;80,24;80,18;79,27;6,900;81,06;78,82;77,77
6,950;80,24;80,18;79,27;6,950;81,06;78,82;77,76
7,000;80,24;80,18;79,26;7,000;81,06;78,82;77,76
7,050;80,24;80,18;79,27;7,050;81,07;78,83;77,76
7,100;80,24;80,18;79,27;7,100;81,07;78,83;77,77
7,150;80,23;80,18;79,27;7,150;81,07;78,83;77,77
7,200;80,24;80,17;79,27;7,200;81,07;78,83;77,76
7,250;80,24;80,17;79,27;7,250;81,07;78,83;77,76
7,300;80,24;80,17;79,27;7,300;81,07;78,84;77,76
7,350;80,24;80,17;79,27;7,350;81,07;78,84;77,76
7,400;80,24;80,17;79,27;7,400;81,08;78,84;77,76
7,450;80,24;80,17;79,28;7,450;81,08;78,84;77,76
7,500;80,24;80,17;79,28;7,500;81,08;78,84;77,76
7,550;80,24;80,17;79,28;7,550;81,08;78,84;77,76
7,600;80,24;80,17;79,28;7,600;81,08;78,84;77,76
7,650;80,24;80,17;79,28;7,650;81,09;78,85;77,76
7,700;80,24;80,17;79,28;7,700;81,08;78,85;77,76
7,750;80,24;80,17;79,28;7,750;81,08;78,85;77,76
7,800;80,24;80,17;79,28;7,800;81,09;78,85;77,76
7,850;80,24;80,17;79,28;7,850;81,09;78,85;77,76
7,900;80,24;80,17;79,28;7,900;81,09;78,85;77,76
7,950;80,24;80,17;79,29;7,950;81,09;78,85;77,76
8,000;80,24;80,17;79,29;8,000;81,09;78,85;77,76
8,050;80,24;80,17;79,28;8,050;81,09;78,85;77,76
8,100;80,24;80,17;79,28;8,100;81,09;78,85;77,76
8,150;80,24;80,19;79,29;8,150;81,09;78,85;77,76
8,200;80,24;80,19;79,29;8,200;81,09;78,85;77,76
8,250;80,24;80,20;79,28;8,250;81,09;78,85;77,76
8,300;80,24;80,21;79,29;8,300;81,09;78,86;77,76
8,350;80,24;80,23;79,28;8,350;81,09;78,86;77,76
8,400;80,24;80,23;79,29;8,400;81,09;78,86;77,76
8,450;80,24;80,24;79,29;8,450;81,09;78,86;77,76
8,500;80,24;80,25;79,28;8,500;81,09;78,86;77,76
8,550;80,24;80,26;79,28;8,550;81,09;78,86;77,76
8,600;80,24;80,26;79,29;8,600;81,09;78,86;77,76
8,650;80,24;80,27;79,29;8,650;81,09;78,86;77,76
8,700;80,24;80,27;79,29;8,700;81,09;78,86;77,76
8,750;80,24;80,27;79,28;8,750;81,09;78,86;77,76
8,800;80,24;80,28;79,29;8,800;81,09;78,86;77,76
8,850;80,24;80,28;79,29;8,850;81,09;78,87;77,76
8,900;80,23;80,29;79,29;8,900;81,09;78,87;77,76
8,950;80,23;80,29;79,29;8,950;81,09;78,86;77,76
9,000;80,24;80,29;79,29;9,000;81,09;78,87;77,76
9,050;80,23;80,30;79,28;9,050;81,09;78,87;77,76
9,100;80,23;80,30;79,28;9,100;81,09;78,87;77,75
9,150;80,23;80,31;79,28;9,150;81,09;78,87;77,76
9,200;80,23;80,31;79,28;9,200;81,09;78,87;77,76
9,250;80,23;80,32;79,28;9,250;81,09;78,87;77,76
9,300;80,23;80,32;79,28;9,300;81,09;78,87;77,76
9,350;80,23;80,32;79,28;9,350;81,09;78,87;77,75
9,400;80,23;80,33;79,28;9,400;81,09;78,87;77,75
9,450;80,23;80,33;79,28;9,450;81,08;78,87;77,75
9,500;80,23;80,34;79,28;9,500;81,08;78,87;77,75
9,550;80,23;80,35;79,28;9,550;81,08;78,87;77,75
9,600;80,23;80,35;79,28;9,600;81,08;78,87;77,75
9,650;80,23;80,35;79,28;9,650;81,08;78,88;77,75
9,700;80,23;80,36;79,28;9,700;81,08;78,88;77,75
9,750;80,22;80,36;79,28;9,750;81,08;78,88;77,75
9,800;80,22;80,36;79,28;9,800;81,08;78,88;77,75
9,850;80,22;80,37;79,28;9,850;81,08;78,88;77,75
9,900;80,22;80,37;79,28;9,900;81,07;78,88;77,75
9,950;80,22;80,38;79,28;9,950;81,07;78,88;77,75
10,000;80,22;80,38;79,28;10,000;81,07;78,88;77,75
10,050;80,22;80,38;79,27;10,050;81,07;78,88;77,75
10,100;80,22;80,38;79,27;10,100;81,07;78,88;77,75
10,150;80,22;80,38;79,27;10,150;81,07;78,88;77,75
10,200;80,22;80,38;79,27;10,200;81,07;78,88;77,75
10,250;80,21;80,39;79,27;10,250;81,06;78,89;77,75
10,300;80,22;80,39;79,27;10,300;81,07;78,88;77,75
10,350;80,21;80,39;79,27;10,350;81,06;78,88;77,75
10,400;80,22;80,39;79,27;10,400;81,06;78,88;77,75
10,450;80,21;80,39;79,27;10,450;81,06;78,89;77,75
10,500;80,21;80,39;79,27;10,500;81,06;78,88;77,75
10,550;80,21;80,40;79,26;10,550;81,06;78,89;77,75
10,600;80,21;80,40;79,26;10,600;81,05;78,89;77,75
10,650;80,21;80,40;79,27;10,650;81,05;78,89;77,76
10,700;80,21;80,40;79,26;10,700;81,05;78,89;77,75
10,750;80,21;80,40;79,26;10,750;81,05;78,89;77,75
10,800;80,21;80,40;79,26;10,800;81,05;78,89;77,75
10,850;80,21;80,40;79,26;10,850;81,05;78,89;77,75
10,900;80,21;80,40;79,26;10,900;81,04;78,89;77,76
10,950;80,20;80,40;79,25;10,950;81,04;78,89;77,76
11,000;80,20;80,40;79,25;11,000;81,04;78,89;77,76
11,050;80,20;80,40;79,25;11,050;81,04;78,88;77,76
11,100;80,20;80,40;79,25;11,100;81,04;78,89;77,76
11,150;80,20;80,41;79,25;11,150;81,03;78,89;77,76
11,200;80,20;80,41;79,25;11,200;81,03;78,89;77,76
11,250;80,20;80,41;79,25;11,250;81,03;78,89;77,76
11,300;80,20;80,41;79,25;11,300;81,02;78,89;77,77
11,350;80,20;80,41;79,24;11,350;81,03;78,89;77,77
11,400;80,20;80,41;79,24;11,400;81,02;78,89;77,77
11,450;80,20;80,41;79,24;11,450;81,02;78,89;77,77
11,500;80,20;80,41;79,24;11,500;81,02;78,89;77,77
11,550;80,20;80,42;79,24;11,550;81,01;78,89;77,77
11,600;80,20;80,42;79,24;11,600;81,01;78,88;77,78
11,650;80,20;80,42;79,24;11,650;81,01;78,88;77,78
11,700;80,19;80,42;79,23;11,700;81,00;78,89;77,78
11,750;80,19;80,42;79,23;11,750;81,00;78,89;77,78
11,800;80,19;80,42;79,23;11,800;81,00;78,88;77,78
11,850;80,19;80,43;79,23;11,850;81,00;78,89;77,78
11,900;80,19;80,43;79,23;11,900;80,99;78,89;77,79
11,950;80,19;80,43;79,23;11,950;80,99;78,89;77,79
12,000;80,19;80,43;79,22;12,000;80,99;78,88;77,79
12,050;80,19;80,44;79,22;12,050;80,98;78,88;77,79
12,100;80,19;80,44;79,22;12,100;80,98;78,89;77,80
12,150;80,19;80,44;79,22;12,150;80,98;78,88;77,80
12,200;80,19;80,44;79,22;12,200;80,97;78,88;77,80
12,250;80,19;80,45;79,21;12,250;80,97;78,88;77,80
12,300;80,19;80,45;79,22;12,300;80,97;78,88;77,80
12,350;80,19;80,45;79,21;12,350;80,96;78,88;77,80
12,400;80,19;80,45;79,21;12,400;80,96;78,88;77,81
12,450;80,19;80,45;79,21;12,450;80,96;78,88;77,81
12,500;80,20;80,45;79,20;12,500;80,95;78,88;77,81
12,550;80,20;80,46;79,20;12,550;80,95;78,88;77,81
12,600;80,21;80,46;79,20;12,600;80,94;78,88;77,81
12,650;80,21;80,46;79,20;12,650;80,94;78,88;77,81
12,700;80,21;80,46;79,20;12,700;80,94;78,87;77,82
12,750;80,21;80,47;79,19;12,750;80,94;78,88;77,82
12,800;80,21;80,47;79,19;12,800;80,94;78,87;77,82
12,850;80,20;80,47;79,19;12,850;80,93;78,88;77,82
12,900;80,20;80,47;79,19;12,900;80,93;78,88;77,82
12,950;80,19;80,47;79,19;12,950;80,92;78,88;77,82
13,000;80,18;80,47;79,19;13,000;80,92;78,87;77,83
13,050;80,17;80,47;79,18;13,050;80,92;78,88;77,83
13,100;80,16;80,47;79,18;13,100;80,91;78,87;77,82
13,150;80,15;80,47;79,18;13,150;80,91;78,88;77,83
